Purple Seven Star,000120
Wu Dang Pure Yang,210210
Art of Heartflame,100221
Freeze Spell,021
Mechanic,001
Art of Five Senses,021001
Insufficient Power,10201
Tranquility Spell,122021
Stars Divine,001020
Yongye Killing Method,11200
Poison Proof Spell,22101
Anti-Toxin Spell,01210
Art of Soul Deprivation,22011
Art of Harmony,12012
Drunken Immortal,021011
Art of Drunkness,011
Yi Jin Jing,012012
Lotus in Heart,0012
Demon Slayer Arhat,112200
Diamond Body,111222000
Yi Jin Jing (Brahma),022122000
Bionic Pentaform,12021
Dragonform,021202
Breathing Skill,012
Golden Acupuncture,202101
Art of Hellish Breathing,11201
Art of Shifting,01122
Turtle Preservation,2211
Traceless Heart,210012
Blood Circulation,12121
Beastmaster,202
True Method,012021210201120102
Dragon Tiger Hunt,1200
Purple Cloud Qi,102201
Wu Dang Harmony,2010102
